,Window,History,SVD rank,3
0,1,2,3,0.007916198590879709
1,1,2,4,0.007806131009422536
2,1,2,5,0.00526084833179075
3,1,2,6,0.0059540364361993295
4,1,2,7,0.004404202783783182
5,1,2,8,0.00357242813679756
6,1,2,9,0.0033990975451795055
7,1,2,10,0.004266144254292052
8,1,5,3,0.009398272653431124
9,1,5,4,0.009356389380451028
10,1,5,5,0.007379807980287419
11,1,5,6,0.010315054612012951
12,1,5,7,0.00903404402762175
13,1,5,8,0.009068876393055075
14,1,5,9,0.009739496037743621
15,1,5,10,0.0073144486523646635
16,1,7,3,0.009954209909339446
17,1,7,4,0.018063904802043698
18,1,7,5,0.009961804354928275
19,1,7,6,0.013280737593717677
20,1,7,7,0.01126711124731573
21,1,7,8,0.009249244462853527
22,1,7,9,0.01700693179293749
23,1,7,10,0.012027007170499274
24,1,10,3,0.010436396172077981
25,1,10,4,0.018601830884015874
26,1,10,5,0.019251332713711107
27,1,10,6,0.01662638511235505
28,1,10,7,0.01659388350885345
29,1,10,8,0.01450452422116678
30,1,10,9,0.013701320004839907
31,1,10,10,0.00958330694988576
32,5,2,3,0.007489672738137896
33,5,2,4,0.0073767706815680055
34,5,2,5,0.00698743847814877
35,5,2,6,0.005420500855312211
36,5,2,7,0.004032922374944196
37,5,2,8,0.0031937101442316967
38,5,2,9,0.0030333831190943097
39,5,2,10,0.0028181938891473873
40,5,5,3,0.0089285664870574
41,5,5,4,0.008888604321583287
42,5,5,5,0.006961700376146277
43,5,5,6,0.008795793621753142
44,5,5,7,0.00885643688177784
45,5,5,8,0.008664367589558512
46,5,5,9,0.007614679326272168
47,5,5,10,0.006835454406535232
48,5,7,3,0.009484966019658002
49,5,7,4,0.017661302064320965
50,5,7,5,0.009244642469055896
51,5,7,6,0.014908215758594447
52,5,7,7,0.010764783236243664
53,5,7,8,0.009960334192468171
54,5,7,9,0.008898404446469036
55,5,7,10,0.009682747890328655
56,5,10,3,0.009955939699655643
57,5,10,4,0.01850716569870079
58,5,10,5,0.009797348348585208
59,5,10,6,0.016460067732848242
60,5,10,7,0.01628764668512548
61,5,10,8,0.01264369669233328
62,5,10,9,0.014761776415803583
63,5,10,10,0.011496979789998576
64,10,2,3,0.00705595193268091
65,10,2,4,0.006937872587320274
66,10,2,5,0.004560039979581175
67,10,2,6,0.004717062127279862
68,10,2,7,0.004273691327174303
69,10,2,8,0.00284228309354054
70,10,2,9,0.0027134871329022765
71,10,2,10,0.0029135308454266012
72,10,5,3,0.00844727254209608
73,10,5,4,0.00840836612165213
74,10,5,5,0.006564091164252378
75,10,5,6,0.009698213783978577
76,10,5,7,0.008009262333431112
77,10,5,8,0.008269417038515327
78,10,5,9,0.007736317912275116
79,10,5,10,0.006466539922345929
80,10,7,3,0.009008819248948852
81,10,7,4,0.01683786683330639
82,10,7,5,0.01239653760961007
83,10,7,6,0.014545030097853951
84,10,7,7,0.011580253809632735
85,10,7,8,0.010716062851724335
86,10,7,9,0.00894447986568054
87,10,7,10,0.008653782346314427
88,10,10,3,0.00947177827854004
89,10,10,4,0.01757490024998535
90,10,10,5,0.018134467809214974
91,10,10,6,0.013385056002487591
92,10,10,7,0.016891977693940453
93,10,10,8,0.014647210447098628
94,10,10,9,0.015002049400567166
95,10,10,10,0.010506284243829121
96,20,2,3,0.006281565400438927
97,20,2,4,0.006153216103974372
98,20,2,5,0.004024430888022786
99,20,2,6,0.004693157950402228
100,20,2,7,0.0026471191871727156
101,20,2,8,0.0023069272889366965
102,20,2,9,0.002167206601532085
103,20,2,10,0.002198590009638069
104,20,5,3,0.00759969068445287
105,20,5,4,0.0075605455109541185
106,20,5,5,0.005945939885477779
107,20,5,6,0.0074247193217557815
108,20,5,7,0.007230450117328469
109,20,5,8,0.006951852228417977
110,20,5,9,0.006791819837715679
111,20,5,10,0.004809351160900343
112,20,7,3,0.008161579448623252
113,20,7,4,0.01507893451020271
114,20,7,5,0.016430225232209664
115,20,7,6,0.010370749431783979
116,20,7,7,0.01042980613866494
117,20,7,8,0.009168418608107994
118,20,7,9,0.009076428967577394
119,20,7,10,0.007606178727661542
120,20,10,3,0.008612646378112532
121,20,10,4,0.01604481539503761
122,20,10,5,0.01654021295908701
123,20,10,6,0.016279947517937723
124,20,10,7,0.0159156274155242
125,20,10,8,0.01459540660523087
126,20,10,9,0.014062587241943038
127,20,10,10,0.008867030602084497
